if_id,source_file,source_line,route_pattern,methods,expanded_paths,expanded_routes
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/ping,POST,/_matrix/app/v1/ping,POST /_matrix/app/v1/ping
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/rooms/{roomAlias},GET,/_matrix/app/v1/rooms/{roomAlias},GET /_matrix/app/v1/rooms/{roomAlias}
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/thirdparty/location,GET,/_matrix/app/v1/thirdparty/location,GET /_matrix/app/v1/thirdparty/location
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/thirdparty/location/{protocol},GET,/_matrix/app/v1/thirdparty/location/{protocol},GET /_matrix/app/v1/thirdparty/location/{protocol}
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/thirdparty/protocol/{protocol},GET,/_matrix/app/v1/thirdparty/protocol/{protocol},GET /_matrix/app/v1/thirdparty/protocol/{protocol}
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/thirdparty/user,GET,/_matrix/app/v1/thirdparty/user,GET /_matrix/app/v1/thirdparty/user
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/thirdparty/user/{protocol},GET,/_matrix/app/v1/thirdparty/user/{protocol},GET /_matrix/app/v1/thirdparty/user/{protocol}
IF-AS-001,spec/framework/23-interface-contract-catalog.md,152,/_matrix/app/*/users/{userId},GET,/_matrix/app/v1/users/{userId},GET /_matrix/app/v1/users/{userId}
IF-CS-002,spec/framework/23-interface-contract-catalog.md,46,/_matrix/client/*/capabilities,GET,/_matrix/client/v3/capabilities,GET /_matrix/client/v3/capabilities
IF-CS-003,spec/framework/23-interface-contract-catalog.md,50,/_matrix/client/*/user/{userId}/filter,POST,/_matrix/client/v3/user/{userId}/filter,POST /_matrix/client/v3/user/{userId}/filter
IF-CS-004,spec/framework/23-interface-contract-catalog.md,51,/_matrix/client/*/user/{userId}/filter/{filterId},GET,/_matrix/client/v3/user/{userId}/filter/{filterId},GET /_matrix/client/v3/user/{userId}/filter/{filterId}
IF-CS-005,spec/framework/23-interface-contract-catalog.md,47,/_matrix/client/*/login,GET,/_matrix/client/v3/login,GET /_matrix/client/v3/login
IF-CS-006,spec/framework/23-interface-contract-catalog.md,57,/_matrix/client/*/account/password,POST,/_matrix/client/v3/account/password,POST /_matrix/client/v3/account/password
IF-CS-007,spec/framework/23-interface-contract-catalog.md,58,/_matrix/client/*/account/password/email/requestToken,POST,/_matrix/client/v3/account/password/email/requestToken,POST /_matrix/client/v3/account/password/email/requestToken
IF-CS-007,spec/framework/23-interface-contract-catalog.md,58,/_matrix/client/*/account/password/msisdn/requestToken,POST,/_matrix/client/v3/account/password/msisdn/requestToken,POST /_matrix/client/v3/account/password/msisdn/requestToken
IF-CS-007,spec/framework/23-interface-contract-catalog.md,58,/_matrix/client/*/register/email/requestToken,POST,/_matrix/client/v3/register/email/requestToken,POST /_matrix/client/v3/register/email/requestToken
IF-CS-007,spec/framework/23-interface-contract-catalog.md,58,/_matrix/client/*/register/msisdn/requestToken,POST,/_matrix/client/v3/register/msisdn/requestToken,POST /_matrix/client/v3/register/msisdn/requestToken
IF-CS-008,spec/framework/23-interface-contract-catalog.md,59,/_matrix/client/*/account/deactivate,POST,/_matrix/client/v3/account/deactivate,POST /_matrix/client/v3/account/deactivate
IF-CS-009,spec/framework/23-interface-contract-catalog.md,48,/_matrix/client/*/register/available,GET,/_matrix/client/v3/register/available,GET /_matrix/client/v3/register/available
IF-CS-010,spec/framework/23-interface-contract-catalog.md,60,/_matrix/client/*/register,POST,/_matrix/client/v3/register,POST /_matrix/client/v3/register
IF-CS-011,spec/framework/23-interface-contract-catalog.md,61,/_matrix/client/*/login,POST,/_matrix/client/v3/login,POST /_matrix/client/v3/login
IF-CS-012,spec/framework/23-interface-contract-catalog.md,62,/_matrix/client/*/refresh,POST,/_matrix/client/v3/refresh,POST /_matrix/client/v3/refresh
IF-CS-013,spec/framework/23-interface-contract-catalog.md,63,/_matrix/client/*/logout,POST,/_matrix/client/v3/logout,POST /_matrix/client/v3/logout
IF-CS-013,spec/framework/23-interface-contract-catalog.md,63,/_matrix/client/*/logout/all,POST,/_matrix/client/v3/logout/all,POST /_matrix/client/v3/logout/all
IF-CS-014,spec/framework/23-interface-contract-catalog.md,64,/_matrix/client/*/account/whoami,GET,/_matrix/client/v3/account/whoami,GET /_matrix/client/v3/account/whoami
IF-CS-015,spec/framework/23-interface-contract-catalog.md,65,/_matrix/client/*/rooms/{roomId}/read_markers,POST,/_matrix/client/v3/rooms/{roomId}/read_markers,POST /_matrix/client/v3/rooms/{roomId}/read_markers
IF-CS-015,spec/framework/23-interface-contract-catalog.md,65,/_matrix/client/*/user/{userId}/account_data/{type},"GET,PUT",/_matrix/client/v3/user/{userId}/account_data/{type},GET /_matrix/client/v3/user/{userId}/account_data/{type} | PUT /_matrix/client/v3/user/{userId}/account_data/{type}
IF-CS-015,spec/framework/23-interface-contract-catalog.md,65,/_matrix/client/*/user/{userId}/rooms/{roomId}/account_data/{type},"GET,PUT",/_matrix/client/v3/user/{userId}/rooms/{roomId}/account_data/{type},GET /_matrix/client/v3/user/{userId}/rooms/{roomId}/account_data/{type} | PUT /_matrix/client/v3/user/{userId}/rooms/{roomId}/account_data/{type}
IF-CS-015,spec/framework/23-interface-contract-catalog.md,65,/_matrix/client/*/user/{userId}/rooms/{roomId}/tags,GET,/_matrix/client/v3/user/{userId}/rooms/{roomId}/tags,GET /_matrix/client/v3/user/{userId}/rooms/{roomId}/tags
