source_id,source_type,target_id,target_type,link_reason,owning_spec,status,source_file,source_line
CF-D1-001,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-001,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,97
CF-D1-001,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,97
CF-D1-001,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,97
CF-D1-001,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,97
CF-D1-002,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-002,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,98
CF-D1-002,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,98
CF-D1-002,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,98
CF-D1-002,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,98
CF-D1-003,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-003,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,99
CF-D1-003,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,99
CF-D1-004,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-004,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,100
CF-D1-004,constraint,SPEC-23,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,100
CF-D1-004,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,100
CF-D1-005,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-005,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,101
CF-D1-006,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-006,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,102
CF-D1-007,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-007,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,103
CF-D1-007,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,103
CF-D1-007,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,103
CF-D1-007,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,103
CF-D1-008,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-008,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,104
